"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23860","25640","26270","26980","28200","28320","28130","29760","30410","29970","32700","31160","28700","30560","33040","27980","34770","32290","36880","33460","31750","32060","33870","35030","36740","36480","36430","36960","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1450","1640","1620","1810","1880","1900","1900","1910","1940","1960","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2760","3120","1220","1230","960","2150","2160","2600","2580","2360","2530","2630","3180","3260","3560","4060","4450","5030","5260","5500","5630","5800","6220","6470","6760","6740","6410","6450","6150","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1870","1740","2040","2300","2710","3050","2780","3110","3550","3980","4440","4780","5130","5550","5980","6750","7480","8270","8670","9530","10210","10450","10750","11360","11800","12060","12960","13320","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6957.67139379878","6993.43126581048","7375.93771690645","7612.45511611007","7722.76130855451","7866.53965160895","8120.60966134008","8409.25547551064","8917.99253789145","9005.29272726627","9423.26619031441","9625.0996923513","9526.25681846804","9906.26647844354","10887.7059553861","11584.8411569371","12454.3917329677","13156.9776085269","13831.6635778655","13651.917624521","14003.151820355","14380.1624266737","15285.9239375015","15575.1169645923","16049.0905838698","16515.4599657514","16985.39638977","17131.9062808543","17498.9028241631","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86230","84810","80530","82910","85560","82940","81680","75170","67450","57560","54210","56590","59010","62900","66630","70600","72810","73890","75300","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7060","7960","8780","9650","10290","10040","10640","11550","11950","11570","11600","11180","9790","10850","11140","12340","14830","16550","17410","16240","17890","19250","19300","19930","19600","20170","19690","20310","19820","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2340","2240","1130","1190","1430","1590","1790","1960","2090","2200","2390","2700","3140","3660","4160","4970","5870","6970","7700","6590","6890","7270","7950","8490","8800","9090","9000","10010","10460","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10220","11030","11300","12150","12930","12340","13180","13960","14530","14970","15660","15330","15200","16300","17410","18990","21740","24020","23970","20970","19680","19260","19900","19990","20900","21660","22580","23490","25160","",
"Australia","AUS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16720","17070","17480","18610","19610","20170","21190","22160","23430","24470","25570","26570","27940","28860","30430","31360","32970","34930","35930","38890","37800","40280","41520","44760","45650","45320","46210","48300","49980","",
"Austria","AUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19530","20570","21310","21760","22640","23570","24520","25310","26510","27170","29120","29310","31000","32030","33700","34940","37710","39350","41660","40910","42360","44600","46500","48050","48860","49390","51600","53740","55230","",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3490","2820","2500","2510","2730","3000","3220","3470","3840","4230","4710","5130","6380","8710","10770","12600","14040","14930","14680","15280","16360","17300","17290","16280","16770","17070","",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","660","700","710","670","640","590","550","550","570","570","580","570","590","570","590","610","640","660","690","690","710","730","760","790","810","760","740","740","740","",
